"item","state","urbanRural","pT"
"Sorghum","Plateau","Urban",-0.118586897850037
"Rice Imported","Plateau","Rural",0.275138646364212
"Sorghum","Plateau","Rural",0.129269510507584
"Rice Local","Plateau","Rural",0.271950870752335
"Maize White","Plateau","Urban",-0.199655875563622
"Rice Local","Rivers","Rural",0.379346400499344
"Rice Imported","Rivers","Urban",0.148267671465874
"Maize White","Rivers","Rural",-0.250184506177902
"Rice Local","Rivers","Urban",0.630705595016479
"Maize White","Sokoto","Rural",-0.300640463829041
"Maize White","Sokoto","Urban",-0.250861674547195
"Rice Local","Taraba","Urban",0.413347810506821
"Sorghum","Taraba","Rural",-0.179404869675636
"Maize White","Taraba","Urban",0.155002936720848
"Rice Imported","Yobe","Urban",0.705992341041565
"Rice Imported","Yobe","Rural",-0.547739744186401
"Maize Yellow","Yobe","Urban",-0.352941870689392
"Rice Imported","Zamfara","Urban",0.269175738096237
"Maize White","Zamfara","Rural",0.110629357397556
"Rice Imported","Zamfara","Rural",0.220095202326775
"Rice Local","Zamfara","Urban",0.290569424629211
