"zoneCode","item","date","countStates","fQ","median","mean","tQ","maxStates"
1,"Cement Dangote",2009-12-01,3,1.6315732717514,4.02720296382904,5.17681956291199,10.3315290927887,6
1,"Cement Dangote",2010-06-01,6,0.996753811836243,3.03434157371521,8.44182440819162,35.8426727294922,6
1,"Cement Dangote",2010-12-01,6,1.134162068367,3.45905613899231,8.2107253038522,32.7636932373047,6
1,"Cement Dangote",2011-06-01,6,7.46869761943817,10.0941381454468,12.2599707841873,22.6994173049927,6
1,"Cement Dangote",2011-12-01,6,8.82520403861999,14.1958250999451,14.0893755753835,18.9692850112915,6
1,"Cement Dangote",2012-06-01,6,11.8334487915039,18.1851234436035,25.0599853727553,44.4175102233887,6
1,"Cement Dangote",2012-12-01,6,9.45992240905762,12.5244455337524,22.3804200490316,45.2133604049683,6
1,"Drink Swan Water Bottle",2009-12-01,2,1.57662506103516,6.28380489349365,5.16874281565348,7.98031711578369,6
1,"Drink Swan Water Bottle",2010-06-01,6,3.31851506233215,24.7949600219727,26.198793888092,56.1675758361816,6
1,"Drink Swan Water Bottle",2010-12-01,6,8.32471642494202,25.5922117233276,24.4605116049449,43.4426706314087,6
1,"Drink Swan Water Bottle",2011-06-01,6,11.5188726425171,28.5638399124146,26.4531185626984,37.9950151443481,6
1,"Drink Swan Water Bottle",2011-12-01,6,10.4277254581451,30.9111614227295,27.8567750930786,40.6922372817993,6
1,"Drink Swan Water Bottle",2012-06-01,6,9.47885818481445,11.6034135818481,17.9132685131497,37.7085800170898,6
1,"Drink Swan Water Bottle",2012-12-01,6,10.1338990688324,14.2753925323486,17.3499624729156,34.8166467666626,6
1,"Maize White",2009-12-01,6,1.53869023323059,11.5501356124878,12.7924586131766,29.355916595459,6
1,"Maize White",2010-06-01,6,4.30758953094482,8.8582706451416,10.392203029186,19.6815013885498,6
1,"Maize White",2010-12-01,6,5.46082544326782,16.3462600708008,18.9028874772494,46.8965492248535,6
1,"Maize White",2011-06-01,6,8.58105461597443,18.2697162628174,19.065080444018,35.8640053749084,6
1,"Maize White",2011-12-01,6,7.94903409481049,13.1212368011475,14.9995566606522,26.3777896881104,6
1,"Maize White",2012-06-01,6,9.12280402183533,11.6149921417236,12.4401839256287,19.2988212108612,6
1,"Maize White",2012-12-01,6,14.4313307285309,19.4639177322388,20.72425421079,32.4066527366638,6
1,"Maize Yellow",2009-12-01,6,1.21947872638702,12.7816715240479,16.1640771494971,47.8242225646973,6
1,"Maize Yellow",2010-06-01,6,4.06206703186035,9.3107385635376,10.4139676504448,19.2407646179199,6
1,"Maize Yellow",2010-12-01,6,6.9588143825531,13.5951232910156,13.1477301888547,20.7088212966919,6
1,"Maize Yellow",2011-06-01,6,5.09437417984009,15.7963256835938,14.6801127592723,20.9655151367188,6
1,"Maize Yellow",2011-12-01,6,7.25842111110687,11.9072651863098,12.7383325497309,18.5357035636902,6
1,"Maize Yellow",2012-06-01,6,8.9124933719635,9.89953231811523,10.5415667533875,14.0492621898651,6
1,"Maize Yellow",2012-12-01,6,14.7329785346985,19.5687980651855,20.8666831652323,31.6332294464111,6
1,"Rice Imported",2009-12-01,6,1.5968562245369,7.16573810577393,8.34150061607361,19.2062015533447,6
1,"Rice Imported",2010-06-01,6,3.3095561504364,8.58007335662842,15.0435168895316,44.0454273223877,6
1,"Rice Imported",2010-12-01,6,4.01955826282501,17.7071304321289,18.0377684654073,49.2038146972656,6
1,"Rice Imported",2011-06-01,6,4.04886193275452,8.72643184661865,15.7776826222738,41.2071348190308,6
1,"Rice Imported",2011-12-01,6,6.65270779132843,8.48646020889282,9.9650444984436,15.1007616996765,6
1,"Rice Imported",2012-06-01,6,8.30302205085754,13.6991190910339,14.2696727752686,21.6188098907471,6
1,"Rice Imported",2012-12-01,6,19.0293208122253,21.4985342025757,26.2810924847921,46.9011499404907,6
1,"Rice Local",2009-12-01,4,0.403097268939018,6.0979540348053,6.85005766650041,16.1583687782287,6
1,"Rice Local",2010-06-01,6,4.19911801815033,25.8165054321289,32.1166716151767,78.2112579345703,6
1,"Rice Local",2010-12-01,6,2.77090221643448,32.0004863739014,27.7728759249051,56.2035570144653,6
1,"Rice Local",2011-06-01,6,5.92084405422211,9.50529527664185,17.0963720877965,48.9528703689575,6
1,"Rice Local",2011-12-01,6,8.1880035161972,11.1198720932007,16.7573578755061,33.4868673324585,6
1,"Rice Local",2012-06-01,6,4.96827239990234,11.0738391876221,15.2944376733568,31.5255847930908,6
1,"Rice Local",2012-12-01,6,12.1026854991913,25.4518451690674,28.1612414518992,55.2063087463379,6
1,"Sorghum",2009-12-01,6,0.564191311597824,8.5857105255127,9.68953180986066,23.6259937286377,6
1,"Sorghum",2010-06-01,6,5.08082628250122,10.9668111801147,17.7892691952283,39.2762184143066,6
1,"Sorghum",2010-12-01,6,9.74909253120422,14.7566499710083,18.682280507581,32.5956426620483,6
1,"Sorghum",2011-06-01,6,9.8688178062439,16.0589785575867,16.6689439614614,25.6879905700684,6
1,"Sorghum",2011-12-01,6,8.12137131690979,13.5939841270447,14.9853833516439,27.7050615310669,6
1,"Sorghum",2012-06-01,6,4.90230672359467,10.8557424545288,10.7168038845062,21.3187941551208,6
1,"Sorghum",2012-12-01,6,15.1205639839172,19.576301574707,21.2103583017985,31.7170666694641,6
2,"Cement Dangote",2010-06-01,6,2.02829432487488,6.4135205745697,9.70757186412811,30.0135340690613,6
2,"Cement Dangote",2010-12-01,6,3.90855193138123,7.28459048271179,10.0239010453224,24.5014138221741,6
