"zoneCode","item","date","fQ","median","mean","tQ","minY","maxY"
1,"Cement Dangote",2009-12-01,2.96202647686005,4.02720296382904,5.17681956291199,6.24199604988098,1,6
1,"Cement Dangote",2010-06-01,1.52084279060364,3.03434157371521,8.44182440819162,3.48926591873169,1,6
1,"Cement Dangote",2010-12-01,2.2401921749115,3.45905613899231,8.2107253038522,4.2094841003418,1,6
1,"Cement Dangote",2011-06-01,8.47547006607056,10.0941381454468,12.2599707841873,14.1583836078644,1,6
1,"Cement Dangote",2011-12-01,12.8829276561737,14.1958250999451,14.0893755753835,15.5818407535553,1,6
1,"Cement Dangote",2012-06-01,13.726975440979,18.1851234436035,25.0599853727553,43.7192344665527,1,6
1,"Cement Dangote",2012-12-01,11.0174651145935,12.5244455337524,22.3804200490316,43.3890218734741,1,6
1,"Drink Swan Water Bottle",2009-12-01,3.66870498657227,6.28380489349365,5.16874281565348,7.22631168365479,1,6
1,"Drink Swan Water Bottle",2010-06-01,7.70589780807495,24.7949600219727,26.198793888092,37.9353694915771,1,6
1,"Drink Swan Water Bottle",2010-12-01,16.6210417747498,25.5922117233276,24.4605116049449,30.5117797851562,1,6
1,"Drink Swan Water Bottle",2011-06-01,14.9667499065399,28.5638399124146,26.4531185626984,36.6545639038086,1,6
1,"Drink Swan Water Bottle",2011-12-01,16.259272813797,30.9111614227295,27.8567750930786,38.5100269317627,1,6
1,"Drink Swan Water Bottle",2012-06-01,11.0934772491455,11.6034135818481,17.9132685131497,18.7492332458496,1,6
1,"Drink Swan Water Bottle",2012-12-01,10.9122316837311,14.2753925323486,17.3499624729156,19.0412030220032,1,6
1,"Maize White",2009-12-01,6.37459325790405,11.5501356124878,12.7924586131766,16.9989147186279,1,6
1,"Maize White",2010-06-01,5.94086241722107,8.8582706451416,10.392203029186,15.1371908187866,1,6
1,"Maize White",2010-12-01,11.8474340438843,16.3462600708008,18.9028874772494,19.5463409423828,1,6
1,"Maize White",2011-06-01,11.9486036300659,18.2697162628174,19.065080444018,21.0506610870361,1,6
1,"Maize White",2011-12-01,10.8854258060455,13.1212368011475,14.9995566606522,18.4752697944641,1,6
1,"Maize White",2012-06-01,10.0440487861633,11.6149921417236,12.4401839256287,12.1287095546722,1,6
1,"Maize White",2012-12-01,17.7447500228882,19.4639177322388,20.72425421079,20.8627152442932,1,6
1,"Maize Yellow",2009-12-01,6.86007344722748,12.7816715240479,16.1640771494971,20.8934721946716,1,6
1,"Maize Yellow",2010-06-01,6.96068477630615,9.3107385635376,10.4139676504448,13.6013822555542,1,6
1,"Maize Yellow",2010-12-01,8.14073848724365,13.5951232910156,13.1477301888547,16.1649856567383,1,6
1,"Maize Yellow",2011-06-01,13.3653185367584,15.7963256835938,14.6801127592723,18.2063798904419,1,6
1,"Maize Yellow",2011-12-01,9.06347298622131,11.9072651863098,12.7383325497309,18.064603805542,1,6
1,"Maize Yellow",2012-06-01,9.26253867149353,9.89953231811523,10.5415667533875,10.9500913619995,1,6
1,"Maize Yellow",2012-12-01,17.193772315979,19.5687980651855,20.8666831652323,22.1936483383179,1,6
1,"Rice Imported",2009-12-01,2.59267884492874,7.16573810577393,8.34150061607361,10.7840614318848,1,6
1,"Rice Imported",2010-06-01,5.34974527359009,8.58007335662842,15.0435168895316,21.1579942703247,1,6
1,"Rice Imported",2010-12-01,7.93944525718689,17.7071304321289,18.0377684654073,24.5811281204224,1,6
1,"Rice Imported",2011-06-01,5.79315948486328,8.72643184661865,15.7776826222738,25.0991325378418,1,6
1,"Rice Imported",2011-12-01,7.06894028186798,8.48646020889282,9.9650444984436,13.8261733055115,1,6
1,"Rice Imported",2012-06-01,12.2750406265259,13.6991190910339,14.2696727752686,15.5091118812561,1,6
1,"Rice Imported",2012-12-01,20.8145322799683,21.4985342025757,26.2810924847921,27.3868727684021,1,6
1,"Rice Local",2009-12-01,2.51867789030075,6.0979540348053,6.85005766650041,9.07551288604736,1,6
1,"Rice Local",2010-06-01,7.04314517974854,25.8165054321289,32.1166716151767,50.6676816940308,1,6
1,"Rice Local",2010-12-01,10.0753405094147,32.0004863739014,27.7728759249051,35.3747081756592,1,6
1,"Rice Local",2011-06-01,7.9874963760376,9.50529527664185,17.0963720877965,18.3990135192871,1,6
1,"Rice Local",2011-12-01,9.09875297546387,11.1198720932007,16.7573578755061,25.7045097351074,1,6
1,"Rice Local",2012-06-01,8.72333908081055,11.0738391876221,15.2944376733568,16.9934978485107,1,6
1,"Rice Local",2012-12-01,22.4886088371277,25.4518451690674,28.1612414518992,27.9870920181274,1,6
1,"Sorghum",2009-12-01,5.85338401794434,8.5857105255127,9.68953180986066,12.4677720069885,1,6
1,"Sorghum",2010-06-01,6.963050365448,10.9668111801147,17.7892691952283,32.8810920715332,1,6
1,"Sorghum",2010-12-01,12.9346041679382,14.7566499710083,18.682280507581,27.8943247795105,1,6
1,"Sorghum",2011-06-01,13.0836219787598,16.0589785575867,16.6689439614614,18.3425679206848,1,6
1,"Sorghum",2011-12-01,10.0229411125183,13.5939841270447,14.9853833516439,16.675404548645,1,6
1,"Sorghum",2012-06-01,6.15990090370178,10.8557424545288,10.7168038845062,11.0070476531982,1,6
1,"Sorghum",2012-12-01,18.676872253418,19.576301574707,21.2103583017985,21.5180377960205,1,6
2,"Cement Dangote",2010-06-01,4.09493803977966,6.4135205745697,9.70757186412811,8.9426600933075,9,14
2,"Cement Dangote",2010-12-01,4.72411179542542,7.28459048271179,10.0239010453224,12.3390083312988,9,14
