"item","xPosition","yPosition"
"Maize",3.5,0
"White",3.5,1
"Maize",11.5,0
"Yellow",11.5,1
"Rice",19.5,0
"Imported",19.5,1
"Rice",27.5,0
"Local",27.5,1
"Sorghum",35.5,0
