"statelabel","zonecode"
"Ekiti",1
"Lagos",1
"Ogun",1
"Ondo",1
"Osun",1
"Oyo",1
"Akwa Ibom",2
"Bayelsa",2
"Cross River",2
"Delta",2
"Edo",2
"Rivers",2
"Abia",3
"Anambra",3
"Ebonyi",3
"Enugu",3
"Imo",3
"Jigawa",4
"Kaduna",4
"Kano",4
"Katsina",4
"Kebbi",4
"Sokoto",4
"Zamfara",4
"Benue",5
"FCT",5
"Kogi",5
"Kwara",5
"Nasarawa",5
"Niger",5
"Plateau",5
"Adamawa",6
"Bauchi",6
"Borno",6
"Gombe",6
"Taraba",6
"Yobe",6
