"date","meanVolDate","xPosition"
2009-12-01,13.4267168674699,3.5
2010-06-01,18.9515229885057,11.5
2010-12-01,21.4327420736932,19.5
2011-06-01,21.2470996441281,27.5
2011-12-01,19.8276824817518,35.5
2012-06-01,19.2778523489933,43.5
2012-12-01,16.9993506493506,51.5
