"item","xPosition","yPosition","minX","maxX","mean"
"Maize",3.5,0,1,6,-0.05449703
"White",3.5,1,1,6,-0.05449703
"Maize",11.5,0,9,14,-0.03349943
"Yellow",11.5,1,9,14,-0.03349943
"Rice",19.5,0,17,22,0.27618727
"Imported",19.5,1,17,22,0.27618727
"Rice",27.5,0,25,30,0.45567673
"Local",27.5,1,25,30,0.45567673
"Sorghum",35.5,0,33,38,-0.06197664
