"item","region","zone","town","date","price","townCode","lat","lon"
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2014-03-01,16.2,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2014-04-01,14.51,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2014-05-01,13.41,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2014-06-01,13.41,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endabaguna",2010-01-01,8.26,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-02-01,7.95,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-03-01,7.99,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-04-01,8.21,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-05-01,7.85,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-06-01,8,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-07-01,8,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-08-01,8,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-09-01,6.7,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-10-01,7.4,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-11-01,8.14,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2010-12-01,6.84,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-01-01,8.28,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-02-01,6.84,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-03-01,9.08,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-04-01,9,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-05-01,8.98,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-06-01,9.36,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-07-01,9.36,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-08-01,9.53,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-09-01,10.13,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-10-01,9.69,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-11-01,9.36,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2011-12-01,9.42,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-01-01,9.53,101062,13.938367132,38.178715474
"Teff","Tigray","North Western Tigray","Endabaguna",2012-02-01,9.35,101062,13.938367132,38.178715474
